0.9503568,15.32723,5.696841,False,no,null
0.9494874,21.2508,6.463729,False,no,null
0.9494874,17.53842,4.480344,False,no,null
0.9494874,9.535404,2.777989,False,no,null
1,28.78972,40.39822,False,no,null
1,35.66258,46.73219,False,no,null
1,32.03106,42.0279,False,no,null
1,24.14575,34.84914,False,no,null
0.8999439,15.78956,6.487636,False,no,null
0.8991106,21.90104,7.699709,False,no,null
0.8991106,18.32091,4.120134,False,no,null
0.8991106,10.26207,2.156271,False,no,null
1,28.02507,40.26535,False,no,null
1,34.86752,46.92403,False,no,null
1,31.22732,42.63274,False,no,null
1,23.34109,35.17079,False,no,null
0.8498363,15.78956,7.725022,False,no,null
0.848965,21.90104,7.672906,False,no,null
0.848965,18.32091,2.52228,False,no,null
0.848965,10.26207,3.59583,False,no,null
1,28.02507,41.60352,False,no,null
1,34.86752,48.33349,False,no,null
1,31.22732,43.86424,False,no,null
1,23.34109,36.52309,False,no,null
0.7996277,15.78956,8.469537,False,no,null
0.7987838,21.90104,7.351221,False,no,null
0.7987838,18.32091,1.689749,False,no,null
0.7987838,10.26207,4.190445,False,no,null
1,28.02507,42.15514,False,no,null
1,34.86752,49.00213,False,no,null
1,31.22732,44.61929,False,no,null
1,23.34109,37.2224,False,no,null
0.7494554,16.61296,8.516426,False,no,null
0.7389747,22.82923,6.570434,False,no,null
0.7389747,19.25787,1.468605,False,no,null
0.7389747,11.21082,4.72249,False,no,null
1,27.07812,42.31178,False,no,null
1,33.9451,49.20799,False,no,null
1,30.38383,45.18407,False,no,null
1,22.45289,37.57458,False,no,null
0.6893593,14.7352,8.322948,False,no,null
0.6884971,22.03903,5.886661,False,no,null
0.6884971,20.08504,1.439467,False,no,null
0.6884971,11.61104,5.239037,False,no,null
1,27.36731,43.1051,False,no,null
1,33.47186,49.90084,False,no,null
1,28.93803,45.73363,False,no,null
1,21.58736,38.20368,False,no,null
0.6388328,12.1387,8.809951,False,no,null
0.6379792,20.26651,5.058213,False,no,null
0.6379792,20.17402,1.478656,False,no,null
0.6379792,11.98365,5.678988,False,no,null
1,30.03057,43.78722,False,no,null
1,35.32671,50.48552,False,no,null
1,29.8402,46.17138,False,no,null
1,23.33017,38.73408,False,no,null
0.5888041,10.96467,8.217124,False,no,null
0.5879516,19.44483,5.17187,False,no,null
0.5879516,21.24973,1.527128,False,no,null
0.5879516,13.91666,6.321426,False,no,null
1,33.09208,44.53357,False,no,null
1,37.64007,51.11752,False,no,null
1,31.3977,46.63794,False,no,null
1,25.77065,39.31075,False,no,null
0.5382742,11.63208,8.053611,False,no,null
0.5374256,19.68691,4.978649,False,no,null
0.5374256,23.22859,1.540155,False,no,null
0.5374256,16.94988,6.182747,False,no,null
1,36.52985,44.3966,False,no,null
1,40.38865,50.96509,False,no,null
1,33.54955,46.46816,False,no,null
1,28.78819,39.15237,False,no,null
0.4880751,13.9085,7.771298,False,no,null
0.4872177,20.97875,4.92239,False,no,null
0.4872177,25.89681,1.530468,False,no,null
0.4872177,20.59085,5.824652,False,no,null
1,40.20986,44.00019,False,no,null
1,43.45997,50.6465,False,no,null
1,36.17164,46.25885,False,no,null
1,32.19397,38.8694,False,no,null
0.4378239,17.22701,8.504995,False,no,null
0.4369702,23.18893,4.970417,False,no,null
0.4369702,29.12321,1.481036,False,no,null
0.4369702,24.64152,5.697595,False,no,null
1,44.13937,43.79934,False,no,null
1,46.84992,50.5017,False,no,null
1,39.22416,46.19277,False,no,null
1,35.94307,38.7522,False,no,null
0.3873934,21.15512,8.408188,False,no,null
0.3865482,26.12842,5.513024,False,no,null
0.3865482,32.77775,1.473684,False,no,null
0.3865482,28.96939,5.35019,False,no,null
1,48.28095,43.56052,False,no,null
1,50.5168,50.13933,False,no,null
1,42.64129,45.67216,False,no,null
1,39.96727,38.33423,False,no,null
0.336554,25.31262,8.466368,False,no,null
0.3357103,29.4988,5.568427,False,no,null
0.3357103,36.63008,1.516272,False,no,null
0.3357103,33.35135,5.802177,False,no,null
1,52.46303,44.0148,False,no,null
1,54.29514,50.58057,False,no,null
1,46.24171,46.08759,False,no,null
1,44.0761,38.7682,False,no,null
0.2858117,29.63908,8.402966,False,no,null
0.284957,33.1997,5.245166,False,no,null
0.284957,40.66572,1.477234,False,no,null
0.284957,37.81476,6.439685,False,no,null
1,56.72958,44.64689,False,no,null
1,58.21111,51.17194,False,no,null
1,50.02868,46.61462,False,no,null
1,48.29679,39.34082,False,no,null
0.2353376,34.07018,8.419461,False,no,null
0.2344594,37.13242,5.075923,False,no,null
0.2344594,44.8352,1.402939,False,no,null
0.2344594,42.33385,6.759634,False,no,null
1,61.06289,44.96142,False,no,null
1,62.23874,51.46977,False,no,null
1,53.96292,46.88532,False,no,null
1,52.60241,39.63112,False,no,null
0.1848174,38.56988,8.232039,False,no,null
0.1839407,41.23069,5.313036,False,no,null
0.1839407,49.10443,1.400959,False,no,null
0.1839407,46.89255,6.625517,False,no,null
1,65.44972,44.81709,False,no,null
1,66.35771,51.31067,False,no,null
1,58.01451,46.7103,False,no,null
1,56.97371,39.46694,False,no,null
0.1344129,43.0213,8.214411,False,no,null
0.1335578,45.3469,5.680648,False,no,null
0.1335578,53.34863,1.341964,False,no,null
0.1335578,51.38644,6.15061,False,no,null
1,69.82877,44.35247,False,no,null
1,70.51253,50.87044,False,no,null
1,62.12291,46.30977,False,no,null
1,61.3457,39.03761,False,no,null
0.08392156,41.19189,8.549463,False,no,null
0.08305717,43.00906,5.691976,False,no,null
0.08305717,51.14751,1.338755,False,no,null
0.08305717,49.62922,6.048295,False,no,null
1,69.8869,44.26178,False,no,null
1,70.97617,50.82556,False,no,null
1,62.66121,46.32518,False,no,null
1,61.42466,39.01141,False,no,null
0.03365952,36.49632,7.843117,False,no,null
0.03280326,38.50794,5.443979,False,no,null
0.03280326,46.57383,1.34437,False,no,null
0.03280326,44.92485,5.95095,False,no,null
1,65.75757,44.12616,False,no,null
1,67.15718,50.60999,False,no,null
1,58.92382,46.01065,False,no,null
1,57.32354,38.76503,False,no,null
0.0001338277,41.82526,7.28945,False,yes,down
0,31.90452,7.526135,False,no,null
0,34.19476,4.097915,False,no,null
0,42.15211,1.236683,False,no,null
0,40.31364,7.144361,False,no,null
1,61.69925,45.36649,False,no,null
1,63.42314,51.97123,False,no,null
1,55.29345,47.50293,False,no,null
1,53.3073,40.17012,False,no,null
0,39.96021,1.445545,False,yes,down
0,27.01472,8.394762,False,no,null
0,29.69444,3.935395,False,no,null
0,37.48171,1.76044,False,no,null
0,35.39652,7.409942,False,no,null
1,57.45711,45.54536,False,no,null
1,59.57088,52.24435,False,no,null
1,51.5902,47.89751,False,no,null
1,49.13428,40.48555,False,no,null
0,22.46828,9.857769,True,no,null
0,25.63852,4.920177,True,no,null
0,33.19203,1.015668,True,no,null
0,30.8091,7.732055,True,no,null
1,53.6003,45.94244,True,no,null
1,56.12479,52.56719,True,no,null
1,48.33019,48.11453,True,no,null
1,45.37408,40.77262,True,no,null
0,17.8928,11.3586,True,no,null
0,21.75355,6.488796,True,no,null
0,28.9395,1.003336,True,no,null
0,26.16162,9.29932,True,no,null
1,49.81425,47.22326,True,no,null
1,52.8072,54.04381,True,no,null
1,45.26178,49.79831,True,no,null
1,41.73115,42.34065,True,no,null
0.009326342,13.34342,12.0628,True,no,null
0.01016003,18.21197,7.289268,True,no,null
0.01016003,24.78905,1.157331,True,no,null
0.01016003,21.46784,9.577613,True,no,null
1,46.14094,47.22779,True,no,null
1,49.66667,54.14816,True,no,null
1,42.45325,50.08077,True,no,null
