@relation fences

@attribute grasshealth numeric
@attribute wolfdistance numeric
@attribute sheepdistance numeric
@attribute sheepposition {inside, outside, middle}
@attribute bossposition {inside, outside}
@attribute updown {up, down}

@data
0.7563228,4.278497,15.24232,outside,outside,up
0.6398154,10.25366,6.196414,inside,outside,up
0.4881397,21.19094,6.755592,inside,outside,up
0.7293849,58.28531,16.38035,outside,outside,up
1,35.5598,19.01167,outside,outside,up
0.1260994,41.61758,4.554939,inside,outside,up
0.5066479,58.61669,18.16568,outside,outside,up
0.09489562,18.0638,1.854145,inside,outside,up
0.4724462,36.94512,10.42249,outside,outside,up
0.6248898,24.89235,8.027834,inside,outside,up
0.07992323,29.23949,7.229373,inside,outside,up
0.9609475,22.29367,7.391809,outside,outside,up
1,35.5598,19.01167,outside,outside,up
0.1872556,49.28715,1.855963,inside,outside,up
0.83222,33.0722,3.435602,outside,outside,up
0.6282899,15.84039,5.259828,inside,outside,up
0,13.22928,6.386562,inside,outside,up
0.819344,18.24108,0.5990462,middle,outside,up
0.5549119,23.90372,17.31885,outside,outside,up
0.4059015,54.71254,17.77853,outside,outside,up
1,31.20134,14.89419,outside,outside,up
1,17.81026,9.643105,outside,outside,up
1,43.42885,8.751215,outside,outside,up
0.8561503,30.47593,16.85189,outside,outside,up
0.6405494,19.81283,1.867673,outside,outside,up
0.68538,20.47554,8.993215,inside,outside,up
1,17.81026,9.643105,outside,outside,up
0.41802,31.20363,11.20374,middle,outside,up
1,26.08466,15.71741,outside,outside,up
0.1260994,41.61758,4.554939,inside,outside,up
0.7833298,26.33387,3.76546,inside,outside,up
0.5290374,10.37447,4.826915,inside,outside,up
0.5687606,40.01089,22.18445,outside,outside,up
0.41802,22.72845,4.620982,middle,outside,up
0.3590755,30.7001,23.89218,outside,outside,up
0.2138995,41.08512,8.649181,outside,outside,up
0.6730912,39.10889,11.2214,outside,outside,up
0.3040504,19.03047,5.724758,inside,outside,up
1,27.5465,14.26103,outside,outside,up
1,32.29664,6.454045,outside,outside,up
0.4688591,49.30721,15.13577,outside,outside,up
0.583454,19.3411,3.789446,inside,outside,up
0.6311597,30.663,11.3742,outside,outside,up
0.454739,28.0086,18.51542,outside,outside,up
0.3908964,43.87877,13.22771,outside,outside,up
0.7251537,26.89875,8.511154,inside,outside,up
0.3177123,31.49437,4.074746,middle,outside,up
0.2107915,16.44831,5.119308,inside,outside,up
0.09489562,18.0638,1.854145,inside,outside,up
0.9617922,18.80755,15.25462,outside,outside,up
0.7701032,46.6385,13.45409,outside,outside,up
1,37.54909,9.093642,outside,outside,up
0.9418801,41.35397,8.632479,inside,outside,up
0.7365046,31.58709,10.4585,outside,outside,up
0.6730912,39.10889,11.2214,outside,outside,up
0.3822472,12.69326,4.293625,inside,outside,up
0.1387122,33.97238,5.423994,inside,outside,up
0,24.1522,6.167929,inside,outside,up
0.9374428,45.24723,9.35229,outside,outside,up
0.6396778,10.26485,13.29801,outside,outside,up
0.2808994,11.65242,5.088586,inside,outside,up
0.094024,10.96147,8.059831,inside,outside,up
0.819344,14.29166,6.374121,middle,outside,up
0.4155716,33.1205,21.07755,outside,outside,up
0.6168517,18.25327,5.990208,inside,outside,up
0.7960104,8.610339,1.869759,inside,outside,up
0.1029308,31.45259,4.221927,inside,outside,up
0.5825756,12.46686,3.971249,inside,outside,up
0.8134342,53.16351,3.846954,inside,outside,up
0.6177043,13.7436,9.317778,inside,outside,up
0.5308676,34.29089,13.46712,outside,outside,up
1,14.76748,15.76053,outside,outside,up
0.7413885,25.23007,1.853502,outside,outside,up
0.3723498,28.88918,3.871273,inside,outside,up
0.7159041,58.28748,9.849269,outside,outside,up
0.5557595,17.78651,12.6197,outside,outside,up
0.3245696,27.83964,7.072133,inside,outside,up
0.8752518,43.42773,17.40703,outside,outside,up
0.583454,19.3411,3.789446,inside,outside,up
0.1881246,38.76244,8.286276,inside,outside,up
0.07159474,48.62393,8.864593,inside,outside,up
1,39.84602,13.63513,outside,outside,up
0.1822297,48.63469,8.960188,inside,outside,up
0.7142482,36.98831,5.218585,inside,outside,up
0.2954077,24.59632,4.420212,inside,outside,up
0.9320096,27.3568,13.173,outside,outside,up
0.6561302,12.6844,11.19088,outside,outside,up
0.454739,28.0086,18.51542,outside,outside,up
0.4948383,38.314,4.224275,inside,outside,up
0.4245733,11.7346,5.653078,inside,outside,up
0.1726063,38.28321,7.358244,inside,outside,up
0.171755,40.96228,8.074966,inside,outside,up
0.2398273,19.42835,8.198054,inside,outside,up
0.7319124,33.55602,8.865386,outside,outside,up
0.5397969,15.41575,4.233109,inside,outside,up
0.7365046,31.58709,10.4585,outside,outside,up
0.6603545,15.90444,28.0788,outside,outside,up
0.5308676,41.5008,11.45174,outside,outside,up
0.6726115,21.71074,6.642291,inside,outside,up
0.4113706,8.450129,7.307096,inside,outside,up
0.5120305,25.45848,3.123307,inside,outside,up
1,41.59418,7.812271,outside,outside,up
0.6248898,17.41084,8.079433,inside,outside,up
0.5924316,37.72588,13.30601,outside,outside,up
0.8405308,24.04439,3.980332,inside,outside,up
0.807534,36.37127,18.47391,outside,outside,up
1,24.73813,15.77953,outside,outside,up
0.8937962,34.973,20.09076,outside,outside,up
0.4271361,16.66525,5.333704,inside,outside,up
0.4059015,54.71254,17.77853,outside,outside,up
0.1633991,38.56438,12.10701,outside,outside,up
0.1941046,7.863524,7.242931,inside,outside,up
0.5602949,21.70692,23.38176,outside,outside,up
