@relation fences

@attribute grasshealth numeric
@attribute wolfdistance numeric
@attribute sheepdistance numeric
@attribute sheepposition {inside, outside, middle}
@attribute bossposition {inside, outside}
@attribute updown {up, down}

@data
0.9734042,50.92351,2.370063,middle,outside,down
0.8739073,41.73295,10.05737,inside,outside,down
0.8730485,38.01157,1.273497,inside,outside,down
0.8730485,33.81662,5.433674,inside,outside,down
0.7738648,26.96736,10.55238,middle,outside,down
0.7730089,26.01118,0.6807317,middle,outside,down
0.6734648,14.33496,9.966325,inside,outside,down
0.6726115,19.89695,0.2991678,inside,outside,down
0.5726032,21.20555,0.1614102,inside,outside,down
0.07159474,56.56152,4.483473,inside,outside,down
0,45.74345,11.05327,middle,outside,down
0,53.0379,5.7219,middle,outside,down
0,49.58231,0.7075641,middle,outside,down
0.08954468,37.72046,7.941183,outside,outside,down
0.09041001,44.56352,13.72465,outside,outside,down
0.09041001,49.68436,11.53208,outside,outside,down
0.09041001,43.65158,3.163352,outside,outside,down
0.1906024,45.62257,14.37137,outside,outside,down
0.1906024,49.37367,13.62747,outside,outside,down
0.9853923,29.24515,0.804763,middle,outside,down
0.9845209,27.8374,8.9288,middle,outside,down
0.8847329,37.25138,0.689582,inside,outside,down
0.8838693,28.91503,6.377651,inside,outside,down
0.8838693,36.82164,6.268894,inside,outside,down
0,34.23595,5.112273,inside,outside,down
0,42.1011,1.258148,inside,outside,down
0.1282103,39.20285,18.30345,outside,outside,down
0.129093,44.1194,10.35676,outside,outside,down
0.129093,50.90929,9.832219,outside,outside,down
0.129093,46.71293,18.04486,outside,outside,down
0.2290238,42.05724,19.57043,outside,outside,down
1,39.37774,1.651802,outside,outside,down
0.925483,48.7724,4.443496,inside,outside,down
0.925483,45.2978,1.63348,inside,outside,down
0.8252926,47.97552,0.6523402,inside,outside,down
0.8252926,43.72135,6.119745,inside,outside,down
0.1240071,46.44302,8.939743,inside,outside,down
0.02417506,53.67459,3.445724,inside,outside,down
0.02334169,55.77507,9.748943,inside,outside,down
0.02334169,47.80967,9.695007,inside,outside,down
0.02334169,45.34167,3.175955,inside,outside,down
0.1242976,51.25648,10.70743,outside,outside,down
0.1251426,55.28128,18.89212,outside,outside,down
0.1251426,48.31888,19.11769,outside,outside,down
0.1251426,43.65686,10.78495,outside,outside,down
0.2251517,47.36211,21.6849,outside,outside,down
1,32.85904,4.086848,outside,outside,down
